Polly Parrot | 鹦鹉波利
Peppa and her family | 佩奇和家人
are visiting Granny Pig and Grandpa Pig. | 去看望猪奶奶和猪爷爷。
Granny Pig! Grandpa Pig! | 奶奶！ 爷爷！
Ganggy Ig! Baba Ig! | 奶奶！ 爷爷！
Hello, my little ones. Come inside, | 你们好，我的小宝贝们。快点进来吧，
we have a surprise. | 我们有个惊喜给你们。
What is it? | 是什么惊喜啊？
We have a new pet. | 我们养了一只新宠物。
Can you guess what it is? | 你们猜猜是什么？
Dine-saw? | 恐龙？
No. | 不是。
It's not a dinosaur. Come and see. | 它不是恐龙。快进来看看。
Granny Pig and Grandpa Pig have a pet parrot. | 猪奶奶和猪爷爷养了一只宠物鹦鹉。
Peppa, George, this is our pet parrot. | 佩奇，乔治，这是我们的宠物鹦鹉。
She's called Polly. Pretty Polly. | 她叫波利。漂亮的波利。
Pretty Polly. | 漂亮的波利。
Oooh. wow. | 哦~。哇。
I'm a clever parrot. | 我是一只聪明的鹦鹉。
Mummy, why does Polly copy everything that Granny says? | 妈妈，为什么奶奶说什么鹦鹉就跟着说什么呢？
That's what parrots do. | 这是因为鹦鹉会学人说话。
I'll show you. | 我示范给你看看。
Hello, Polly. | 你好，波利。
Hello, Polly. | 你好，波利。
What a sweet little parrot! | 真是一只可爱的小鹦鹉！
Come on, everyone, teatime! | 来吧，大家，下午茶的时间到了！
Peppa, George. Come on! | 佩奇，乔治。快来吧！
There's chocolate cake! | 这有巧克力蛋糕！
Coming, Granny! | 来了，奶奶！
Peppa and George love eating chocolate cake. | 佩奇和乔治喜欢吃巧克力蛋糕。
But today, they are in a hurry | 但是今天，他们吃得很快
to get back and play with Polly Parrot. | 想去和鹦鹉波利玩。
Finished! | 吃完了！
What noisy little ones you are! | 你们俩个小家伙可真吵啊！
Granny, please, can we leave the table | 奶奶，我们现在可以离开餐桌
and go and see Polly Parrot? | 去和鹦鹉波利玩吗？
Are sure you've completely finished your cake? | 你们确定已经吃干净蛋糕了吗？
Off you go, then. | 那就去玩吧。
Hurray! | 太好了！
George, say something to Polly. | 乔治，你和波利说些话吧。
George is a little bit shy. | 乔治有点害羞。
Hello. | 你好。
Peppa and George are really enjoying playing with Polly Parrot. | 佩奇和乔治真的很喜欢和波利一起玩。
I'm Peppa Pig! | 我是佩奇！
George, say something. | 乔治，你和它说话呀。
Peppa and George are pretending to be parrots. | 佩奇和乔治在假装自己是鹦鹉。
I'm Polly Parrot。 | 我是鹦鹉波利。
Peppa is thinking of something else to say to Polly Parrot. | 佩奇在想有什么可以对鹦鹉波利说的。
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
Peppa, George, | 佩奇，乔治，
have you been playing with Polly? | 你们是不是正在和波利玩？
Yes, Granny. | 是的，奶奶。
Polly is such a sweet parrot. | 波利是一只多么可爱的鹦鹉。
Yes, Granny. | 是的，奶奶。
I'm a clever parrot. | 我是一只聪明的鹦鹉。
I'm a noisy parrot! | 我是一只吵人的鹦鹉！
Ohh! | 哦~！
Oh, my word! | 哦，我的天啊！
I'm Peppa Pig. | 我是佩奇.
This is my little brother, George. | 这是我的弟弟，乔治。
