She is a student. | 她是一名学生。
He is very tall. | 他很高。
The cat is cute. | 这只猫很可爱。
My father is a doctor. | 我爸爸是一名医生。
The weather is nice today. | 今天天气很好。
They are friends. | 他们是朋友。
It is cold. | 天气冷。
I am happy. | 我很高兴。
This book is interesting. | 这本书很有趣。
My brother is fifteen. | 我弟弟十五岁。
The room is clean. | 房间很干净。
The soup is hot. | 汤很热。
The dog is hungry. | 狗饿了。
Her dress is beautiful. | 她的裙子很漂亮。
The bag is heavy. | 包很重。
The sky is blue. | 天空是蓝色的。
The baby is sleepy. | 宝宝困了。
My shoes are new. | 我的鞋子是新的。
This movie is boring. | 这部电影很无聊。
Your idea is good. | 你的主意很好。
I run every morning. | 我每天早上跑步。
They swim in the pool. | 他们在泳池里游泳。
He sleeps early. | 他很早睡觉。
We walk to school. | 我们走路去学校。
Birds fly in the sky. | 鸟儿在天空中飞。
The baby cries a lot. | 婴儿经常哭。
She dances very well. | 她跳舞跳得很好。
I study hard. | 我努力学习。
He works in the garden. | 他在花园里工作。
They sing loudly. | 他们唱得很大声。
I laugh at the joke. | 我笑了这个笑话。
The cat jumps on the table. | 猫跳到桌子上了。
He arrives late. | 他来得很晚。
The children play outside. | 孩子们在外面玩。
We rest after lunch. | 午饭后我们休息。
She cooks in the kitchen. | 她在厨房做饭。
I listen carefully. | 我认真听。
They travel a lot. | 他们经常旅行。
My sister talks a lot. | 我妹妹话很多。
The teacher speaks clearly. | 老师讲得很清楚。
I like apples. | 我喜欢苹果。
She reads books. | 她看书。
We play basketball. | 我们打篮球。
They watch TV. | 他们看电视。
He opens the window. | 他打开窗户。
I eat breakfast. | 我吃早餐。
The girl writes a letter. | 女孩写信。
My mom makes a cake. | 妈妈做蛋糕。
We drink water. | 我们喝水。
He brings a bag. | 他带了一个包。
I hear a sound. | 我听到一个声音。
She closes the door. | 她关上了门。
They build a house. | 他们建房子。
The boy kicks the ball. | 男孩踢球。
We visit the zoo. | 我们参观动物园。
He buys a pen. | 他买了一支笔。
I clean the room. | 我打扫房间。
She carries a box. | 她搬了一个箱子。
The dog bites the toy. | 狗咬玩具。
They paint the wall. | 他们粉刷墙壁。
She gives me a gift. | 她给了我一个礼物。
He sends her a letter. | 他寄给她一封信。
My mom tells me a story. | 妈妈给我讲故事。
The teacher shows us a picture. | 老师给我们看一张图片。
I buy him a present. | 我买了礼物给他。
She cooks us dinner. | 她给我们做晚饭。
They teach us English. | 他们教我们英语。
He brings me a cup of tea. | 他给我带来一杯茶。
We write them a note. | 我们给他们写便条。
She reads the child a book. | 她给孩子读书。
He made me a sandwich. | 他给我做了一个三明治。
I got her a ticket. | 我给她买了一张票。
Dad builds us a treehouse. | 爸爸给我们建了一个树屋。
They told us a secret. | 他们告诉我们一个秘密。
He handed her a pencil. | 他递给她一支铅笔。
She sent me a photo. | 她发给我一张照片。
We lent them a bike. | 我们借给他们一辆自行车。
He offered me some help. | 他向我提供帮助。
I wrote him a poem. | 我写了一首诗给他。
She teaches me math. | 她教我数学。
We call him Tom. | 我们叫他汤姆。
They made me angry. | 他们让我生气。
The story made her sad. | 故事让她难过。
She kept the door open. | 她让门开着。
He found the movie boring. | 他觉得这部电影无聊。
I saw him cry. | 我看到他哭了。
We painted the wall white. | 我们把墙刷成了白色。
She named her cat Lily. | 她给猫取名叫莉莉。
He left the window open. | 他把窗户开着。
They made the room clean. | 他们把房间打扫干净。
I heard her sing. | 我听到她唱歌。
We elected him leader. | 我们选他为领导。
The joke made everyone laugh. | 笑话让大家笑了。
She found the test easy. | 她觉得考试很简单。
He got his shoes dirty. | 他的鞋弄脏了。
I saw them play. | 我看到他们在玩。
We kept the lights on. | 我们让灯一直开着。
She painted her nails red. | 她把指甲涂成了红色。
He proved them wrong. | 他证明他们错了。
They made me smile. | 他们让我微笑。
